 P.CHAVE  MODIFICACOES E INDICES
 XXXXXXXX XXXXXXXXXXXXXXXXXXXXX
 VMAXT     5 2022  88.320 '%'
 VMAXT     6 2022  89.610 '%'
 VMAXT     7 2022  95.420 '%'
 VMAXT     9 2022  92.830 '%'
 VMAXT    10 2022  95.450 '%'
 VMAXT    11 2022  87.690 '%'
 VMAXT    12 2022  80.100 '%'
 VMAXT     1 2023  80.720 '%'
 VMAXT     2 2023  93.470 '%'
 VMAXT     3 2023  97.380 '%'
 VMAXT     4 2023  92.180 '%'
 VMAXT     5 2023  88.320 '%'
 VMAXT     6 2023  89.610 '%'
 VMAXT     7 2023  95.420 '%'
 VMAXT     9 2023  92.830 '%'
 VMAXT    10 2023  95.450 '%'
 VMAXT    11 2023  87.690 '%'
 VMAXT    12 2023  80.100 '%'
 VMAXT     1 2024  80.720 '%'
 VMAXT     2 2024  93.470 '%'
 VMAXT     3 2024  97.380 '%'
 VMAXT     4 2024  92.180 '%'
 VMAXT     5 2024  88.320 '%'
 VMAXT     6 2024  89.610 '%'
 VMAXT     7 2024  95.420 '%'
 VMAXT     9 2024  92.830 '%'
 VMAXT    10 2024  95.450 '%'
 VMAXT    11 2024  87.690 '%'
 VMAXT    12 2024  80.100 '%'
 VMAXT     1 2025  80.720 '%'
 VMAXT     2 2025  93.470 '%'
 VMAXT     3 2025  97.380 '%'
 VMAXT     4 2025  92.180 '%'
 VMAXT     5 2025  88.320 '%'
 VMAXT     6 2025  89.610 '%'
 VMAXT     7 2025  95.420 '%'
 VMAXT     9 2025  92.830 '%'
 VMAXT    10 2025  95.450 '%'
 VMAXT    11 2025  87.690 '%'
 VMAXT    12 2025  80.100 '%'
 USINA     50                               L.N. GARCEZ         
 VAZMINT   2 2021  127.00
 USINA     51                               CANOAS II           
 VAZMIN        130
 USINA     52                               CANOAS I            
 VAZMIN        137
 USINA     61                               CAPIVARA            
 VAZMINT   2 2021  276.00
 VMAXT    11 2021  98.780 '%'
 VMAXT    12 2021  85.740 '%'
 VMAXT     1 2022  83.400 '%'
 VMAXT     2 2022  90.720 '%'
 VMAXT     3 2022  96.070 '%'
