 &&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&
 & Cadastro das familias de curvas de jusante
 &
 & Usina: codigo da usina hidraulica
 & IndCurva: indice da familia (sequencial)
 & HjusRef: nivel de montante da usina de jusante para referencia da familia
 & nPol: quantidade de polinomios da familia
 &
 &&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&
 &;Usina;Indice;HjusRef
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0043;001;  279.7109
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0043;001;002
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0043;002;  279.9000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0043;002;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0043;003;  280.0000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0043;003;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0045;001;  256.8145
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0045;001;002
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0045;002;  257.5000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0045;002;002
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0046;001;  235.1438
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0046;001;002
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0047;001;  531.1254
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0047;001;002
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0047;002;  531.8000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0047;002;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0048;001;  503.8568
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0048;001;002
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0049;001;  397.6954
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0049;001;002
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0049;002;  398.1000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0049;002;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0049;003;  398.2000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0049;003;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0050;001;  365.0908
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0050;001;002
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0050;002;  366.0000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0050;002;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0050;003;  366.1000
