***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  CEPEL: NEWAVE     - Versao FPHA_NEWAVE                             *
*                                                                     *
***********************************************************************


____________________________________________________________________
                                   
____________________________________________________________________


---------------------------------------------------------------------------------
Relatorio de dados para a modelagem da funcao de producao das usinas hidroeletricas
---------------------------------------------------------------------------------
----;----;-------------;----;----;----;----;-----;--------;--------;-----;--------;--------;--------;--------;
USIH;IPER;    Nome     ;      Opcoes    ;;;;     Discretiz. Q    ;;;    Discretiz. V     ;;;    Janela GH   ;;
  - ;    ;     -       ;Tipo;Conv;Alfa;Rems; Npt ;   Qmin ;  Qmax  ; Npt ;  Vmin  ;  Vmax  ;  GHmin ; GHmax  ;
  - ;    ;             ;    ;    ;    ;    ;     ; (m3/s) ; (m3/s) ;     ; (hm3)  ; (hm3)  ;  (MW)  ;  (MW)  ;
----;----;-------------;----;----;----;----;-----;--------;--------;-----;--------;--------;--------;--------;
  66;  11; ITAIPU      ;  2 ;  1 ;  1 ;  1 ;    5;     0.0; 13032.8;    1; 27914.0; 27914.0;     0.0; 14000.0;
  66;  12; ITAIPU      ;  2 ;  1 ;  1 ;  1 ;    5;     0.0; 13032.8;    1; 27914.0; 27914.0;     0.0; 14000.0;
  66;  13; ITAIPU      ;  2 ;  1 ;  1 ;  1 ;    5;     0.0; 13032.8;    1; 27914.0; 27914.0;     0.0; 14000.0;
 131;   1; NILO PECANHA;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   139.7;    1;     9.0;     9.0;     0.0;   380.0;
 131;   2; NILO PECANHA;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   139.7;    1;     9.0;     9.0;     0.0;   380.0;
 131;   3; NILO PECANHA;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   139.7;    1;     9.0;     9.0;     0.0;   380.0;
 131;   4; NILO PECANHA;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   139.7;    1;     9.0;     9.0;     0.0;   380.0;
 131;   5; NILO PECANHA;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   139.7;    1;     9.0;     9.0;     0.0;   380.0;
 131;   6; NILO PECANHA;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   139.7;    1;     9.0;     9.0;     0.0;   380.0;
 131;   7; NILO PECANHA;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   139.7;    1;     9.0;     9.0;     0.0;   380.0;
 131;   8; NILO PECANHA;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   139.7;    1;     9.0;     9.0;     0.0;   380.0;
 131;   9; NILO PECANHA;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   139.7;    1;     9.0;     9.0;     0.0;   380.0;
 131;  10; NILO PECANHA;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   139.7;    1;     9.0;     9.0;     0.0;   380.0;
 131;  11; NILO PECANHA;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   139.7;    1;     9.0;     9.0;     0.0;   380.0;
 131;  12; NILO PECANHA;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   139.7;    1;     9.0;     9.0;     0.0;   380.0;
 131;  13; NILO PECANHA;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   139.7;    1;     9.0;     9.0;     0.0;   380.0;
 132;   1; FONTES      ;  2 ;  1 ;  1 ;  1 ;    5;     0.0;    48.9;    1;   393.8;   393.8;     0.0;   132.0;
 132;   2; FONTES      ;  2 ;  1 ;  1 ;  1 ;    5;     0.0;    48.9;    1;   393.8;   393.8;     0.0;   132.0;
 132;   3; FONTES      ;  2 ;  1 ;  1 ;  1 ;    5;     0.0;    48.9;    1;   393.8;   393.8;     0.0;   132.0;
 132;   4; FONTES      ;  2 ;  1 ;  1 ;  1 ;    5;     0.0;    48.9;    1;   393.8;   393.8;     0.0;   132.0;
 132;   5; FONTES      ;  2 ;  1 ;  1 ;  1 ;    5;     0.0;    48.9;    1;   393.8;   393.8;     0.0;   132.0;
 132;   6; FONTES      ;  2 ;  1 ;  1 ;  1 ;    5;     0.0;    48.9;    1;   393.8;   393.8;     0.0;   132.0;
 132;   7; FONTES      ;  2 ;  1 ;  1 ;  1 ;    5;     0.0;    48.9;    1;   393.8;   393.8;     0.0;   132.0;
 132;   8; FONTES      ;  2 ;  1 ;  1 ;  1 ;    5;     0.0;    48.9;    1;   393.8;   393.8;     0.0;   132.0;
 132;   9; FONTES      ;  2 ;  1 ;  1 ;  1 ;    5;     0.0;    48.9;    1;   393.8;   393.8;     0.0;   132.0;
 132;  10; FONTES      ;  2 ;  1 ;  1 ;  1 ;    5;     0.0;    48.9;    1;   393.8;   393.8;     0.0;   132.0;
 132;  11; FONTES      ;  2 ;  1 ;  1 ;  1 ;    5;     0.0;    48.9;    1;   393.8;   393.8;     0.0;   132.0;
 132;  12; FONTES      ;  2 ;  1 ;  1 ;  1 ;    5;     0.0;    48.9;    1;   393.8;   393.8;     0.0;   132.0;
 132;  13; FONTES      ;  2 ;  1 ;  1 ;  1 ;    5;     0.0;    48.9;    1;   393.8;   393.8;     0.0;   132.0;
 141;   1; BAGUARI     ;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   824.5;    1;    32.5;    32.5;     0.0;   140.0;
 141;   2; BAGUARI     ;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   824.5;    1;    32.5;    32.5;     0.0;   140.0;
 141;   3; BAGUARI     ;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   824.5;    1;    32.5;    32.5;     0.0;   140.0;
 141;   4; BAGUARI     ;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   824.5;    1;    32.5;    32.5;     0.0;   140.0;
 141;   5; BAGUARI     ;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   824.5;    1;    32.5;    32.5;     0.0;   140.0;
 141;   6; BAGUARI     ;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   824.5;    1;    32.5;    32.5;     0.0;   140.0;
 141;   7; BAGUARI     ;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   824.5;    1;    32.5;    32.5;     0.0;   140.0;
 141;   8; BAGUARI     ;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   824.5;    1;    32.5;    32.5;     0.0;   140.0;
 141;   9; BAGUARI     ;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   824.5;    1;    32.5;    32.5;     0.0;   140.0;
 141;  10; BAGUARI     ;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   824.5;    1;    32.5;    32.5;     0.0;   140.0;
 141;  11; BAGUARI     ;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   824.5;    1;    32.5;    32.5;     0.0;   140.0;
 141;  12; BAGUARI     ;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   824.5;    1;    32.5;    32.5;     0.0;   140.0;
 141;  13; BAGUARI     ;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   824.5;    1;    32.5;    32.5;     0.0;   140.0;
 153;   1; SAO DOMINGOS;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   156.3;    1;   131.3;   131.3;     0.0;    48.0;
 153;   2; SAO DOMINGOS;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   156.3;    1;   131.3;   131.3;     0.0;    48.0;
 153;   3; SAO DOMINGOS;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   156.3;    1;   131.3;   131.3;     0.0;    48.0;
 153;   4; SAO DOMINGOS;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   156.3;    1;   131.3;   131.3;     0.0;    48.0;
 153;   5; SAO DOMINGOS;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   156.3;    1;   131.3;   131.3;     0.0;    48.0;
 153;   6; SAO DOMINGOS;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   156.3;    1;   131.3;   131.3;     0.0;    48.0;
 153;   7; SAO DOMINGOS;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   156.3;    1;   131.3;   131.3;     0.0;    48.0;
 153;   8; SAO DOMINGOS;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   156.3;    1;   131.3;   131.3;     0.0;    48.0;
 153;   9; SAO DOMINGOS;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   156.3;    1;   131.3;   131.3;     0.0;    48.0;
 153;  10; SAO DOMINGOS;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   156.3;    1;   131.3;   131.3;     0.0;    48.0;
 153;  11; SAO DOMINGOS;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   156.3;    1;   131.3;   131.3;     0.0;    48.0;
 153;  12; SAO DOMINGOS;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   156.3;    1;   131.3;   131.3;     0.0;    48.0;
 153;  13; SAO DOMINGOS;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   156.3;    1;   131.3;   131.3;     0.0;    48.0;
 155;   1; RETIRO BAIXO;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   254.6;    5;   209.6;   241.6;     0.0;    83.7;
 155;   2; RETIRO BAIXO;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   254.6;    5;   209.6;   241.6;     0.0;    83.7;
 155;   3; RETIRO BAIXO;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   254.6;    5;   209.6;   241.6;     0.0;    83.7;
 155;   4; RETIRO BAIXO;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   254.6;    5;   209.6;   241.6;     0.0;    83.7;
 155;   5; RETIRO BAIXO;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   254.6;    5;   209.6;   241.6;     0.0;    83.7;
 155;   6; RETIRO BAIXO;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   254.6;    5;   209.6;   241.6;     0.0;    83.7;
 155;   7; RETIRO BAIXO;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   254.6;    5;   209.6;   241.6;     0.0;    83.7;
